Number_of_Datasets,Number_of_Countries,Number_of_Organizations,Number_of_Users,Number_of_Tags,Number_of_Licenses,Date_and_Time
1331,243,41,267,463,6,2014-08-31
1331,243,41,268,463,6,2014-09-01
1332,243,41,270,466,6,2014-09-02
1334,243,41,273,470,6,2014-09-03
1335,243,41,275,474,6,2014-09-04
1337,243,42,277,485,6,2014-09-05
1337,243,42,277,485,6,2014-09-07
1337,243,42,277,485,6,2014-09-08
1339,243,42,278,485,6,2014-09-09
1339,243,42,279,485,6,2014-09-10
1340,243,42,279,486,6,2014-09-11
1340,243,42,281,486,6,2014-09-12
1340,243,42,287,485,6,2014-09-13
1340,243,46,287,485,6,2014-09-14
1340,243,46,288,485,6,2014-09-15
1340,243,47,289,485,6,2014-09-16
1341,243,47,291,491,6,2014-09-17
1342,243,48,295,495,6,2014-09-18
1343,243,48,298,496,6,2014-09-19
1344,243,48,302,507,6,2014-09-20
1344,243,48,302,507,6,2014-09-21
1344,243,48,302,507,6,2014-09-22
1344,243,49,303,507,6,2014-09-23
1344,243,49,304,507,6,2014-09-24
1314,243,49,306,507,6,2014-09-25
1314,243,50,310,507,6,2014-09-26
1318,243,53,314,510,6,2014-09-27
1318,243,53,314,510,6,2014-09-28
1318,243,53,315,510,6,2014-09-29
1319,243,53,317,510,6,2014-09-30
1319,243,54,321,512,6,2014-10-01
1320,243,54,325,512,6,2014-10-02
1323,243,56,333,526,6,2014-10-03
1323,243,57,338,528,6,2014-10-04
1323,243,57,338,528,6,2014-10-05
1324,243,57,338,532,6,2014-10-06
1324,243,57,341,532,6,2014-10-07
1325,243,57,344,534,6,2014-10-08
1325,243,57,347,534,6,2014-10-09
1325,243,57,349,538,6,2014-10-10
1326,243,58,353,542,6,2014-10-11
1326,243,58,357,542,6,2014-10-12
1326,243,58,361,542,6,2014-10-13
1327,243,58,360,542,6,2014-10-14
1327,243,58,363,543,6,2014-10-15
